Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
21;21100217204;"Boletin de Geologia";journal;"21458553, 01200283";0,232;Q3;9;29;85;1256;45;76;0,55;43,31;Colombia;Latin America;"Universidad Industrial de Santander";"2012-2021";"Earth and Planetary Sciences (miscellaneous) (Q3)"
22;21100432496;"Revista de Derecho Privado";journal;"01234366, 23462442";0,223;Q2;4;14;97;480;20;96;0,20;34,29;Colombia;Latin America;"Universidad Externado de Colombia";"2015-2021";"Law (Q2)"
23;21100996939;"Revista Cientifica General Jose Maria Cordova";journal;"19006586, 25007645";0,222;Q2;4;54;53;2381;27;49;0,43;44,09;Colombia;Latin America;"Escuela Militar de Cadetes";"2020-2021";"Law (Q2); Political Science and International Relations (Q3); Safety Research (Q3); Safety, Risk, Reliability and Quality (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Public Administration (Q4)"
24;21100897721;"Revista Colombiana de Educacion";journal;"23230134, 01203916";0,222;Q3;4;47;110;1770;50;108;0,48;37,66;Colombia;Latin America;"Research Center of Universidad Pedagogica Nacional";"2018-2021";"Education (Q3)"
25;21100798596;"Revista Facultad Nacional de Agronomia Medellin";journal;"03042847, 22487026";0,218;Q3;9;68;106;1586;96;98;0,73;23,32;Colombia;Latin America;"Universidad Nacional de Colombia";"2016-2021";"Agricultural and Biological Sciences (miscellaneous) (Q3); Agronomy and Crop Science (Q3); Food Science (Q3); Forestry (Q3); Horticulture (Q3); Animal Science and Zoology (Q4)"
26;21100244946;"Kepes";journal;"17947111";0,216;Q1;5;22;101;763;22;95;0,17;34,68;Colombia;Latin America;"Departamento de Diseno Visual, Universidad de Caldas";"2011-2021";"Visual Arts and Performing Arts (Q1)"
27;17600155203;"Acta Biologica Colombiana";journal;"0120548X, 19001649";0,214;Q3;15;51;133;2451;102;130;0,76;48,06;Colombia;Latin America;"Universidad Nacional de Colombia";"2008-2021";"Agricultural and Biological Sciences (miscellaneous) (Q3)"
28;21100258403;"Mutatis Mutandis";journal;"2011799X";0,214;Q2;4;27;73;1414;17;72;0,28;52,37;Colombia;Latin America;"Universidad de Antioquia";"2013-2021";"Linguistics and Language (Q2)"
29;5600155076;"Revista de Estudios Sociales";journal;"19005180, 0123885X";0,213;Q1;12;29;105;1506;77;103;0,72;51,93;Colombia;Latin America;"Universidad de los Andes";"2009-2021";"History (Q1); Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)"
30;21101021454;"Biota Colombiana";journal;"01245376, 2539200X";0,209;Q3;3;25;20;1249;17;20;0,85;49,96;Colombia;Latin America;"Instituto de investigacion de recursos biologicos Alexander von humboldt";"2020-2021";"Nature and Landscape Conservation (Q3); Animal Science and Zoology (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
