Rank;Sourceid;Title;Issn;SJR Best Quartile;H index;Total Docs. (2021);Country;Publisher;Coverage;Categories
27;17600155203;Acta Biologica Colombiana;0120548X, 19001649;Q3;15;51;Colombia;Universidad Nacional de Colombia;2008-2021;Agricultural and Biological Sciences (miscellaneous) (Q3)
28;21100258403;Mutatis Mutandis;2011799X;Q2;4;27;Colombia;Universidad de Antioquia;2013-2021;Linguistics and Language (Q2)
29;5600155076;Revista de Estudios Sociales;19005180, 0123885X;Q1;12;29;Colombia;Universidad de los Andes;2009-2021;"History (Q1); Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)"
30;21101021454;Biota Colombiana;01245376, 2539200X;Q3;3;25;Colombia;Instituto de investigacion de recursos biologicos Alexander von humboldt;2020-2021;"Nature and Landscape Conservation (Q3); Animal Science and Zoology (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
31;19400157235;Revista Colombiana de Ciencias Pecuarias;22562958, 01200690;Q3;17;25;Colombia;Universidad de Antioquia;2008-2021;"Veterinary (miscellaneous) (Q3); Animal Science and Zoology (Q4)"
32;21100940511;Territorios;01238418, 22157484;Q3;2;34;Colombia;Universidad del Rosario;2019-2021;"Geography, Planning and Development (Q3); Urban Studies (Q3)"
33;19700175084;Revista Colombiana de Estadistica;1201751;Q4;17;20;Colombia;Universidad Nacional de Colombia;2001-2021;Statistics and Probability (Q4)
34;21100940999;Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud;20277679, 1692715X;Q3;4;48;Colombia;Revista Latinoamericana de Ciencias Sociales;2019-2021;"Social Sciences (miscellaneous) (Q3); Developmental and Educational Psychology (Q4)"
35;12400154740;Revista Facultad de Ingenieria;01206230, 24222844;Q3;13;36;Colombia;Universidad de Antioquia;2008-2022;Engineering (miscellaneous) (Q3)
36;21100934789;Fuentes el Reventon Energetico;21458502, 16576527;Q4;3;15;Colombia;Universidad Industrial de Santander;2019-2020;"Energy (miscellaneous) (Q4); Physical and Theoretical Chemistry (Q4)"
37;19700169822;Ikala;1233432;Q2;6;39;Colombia;Publishing University of Antioquia;2013-2021;"Linguistics and Language (Q2); Education (Q4)"
38;20059;Caldasia;3665232;Q3;16;22;Colombia;Universidad Nacional de Colombia;1981, 1983-1984, 1986, 1989, 1992-1993, 1995-1997, 2008-2021;Agricultural and Biological Sciences (miscellaneous) (Q3)
39;21100897722;Cuadernos de Geografia: Revista Colombiana de Geografia;0121215X, 22565442;Q3;4;25;Colombia;Universidad Nacional de Colombia;2018-2021;"Earth and Planetary Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Geography, Planning and Development (Q3)"
